iteration,sample,llm:anthropic-haiku,llm:anthropic-opus,llm:openai-mini,llm:openai,llm:openrouter-haiku,llm:openrouter-opus,llm:openrouter-openai-mini,llm:openrouter-openai
4,10,472.04,1420.41,742.83,800.8,839.47,1691.27,1282.42,1080.28
5,1,345.71,1325.77,601.55,860.21,997.2,3240.85,976.35,838.06
5,2,393.08,1610.98,602.58,1298.48,1349.64,2256.53,1319.07,1766.8
5,3,756.81,2148.09,502.65,760,1386.75,1521.11,3276.81,3301.91
5,4,457.05,1486.24,716.05,611.58,993.32,3516,2227.6,3331.02
5,5,520.04,1575.92,973.95,768.44,2022.12,3046.07,2140.79,4170.89
5,6,647.74,1853.17,731.64,679.9,1408.42,5488.28,2655.83,3094
5,7,481.77,1789.36,698.13,590.01,1524.77,1973.79,1025.95,3446.98
5,8,627.8,1695.41,573.05,783.04,1207.19,4635.07,1045.86,2559.41
5,9,696.78,1623.37,760.27,740.56,936.71,1751.19,1475.29,1493.43
5,10,532.52,1583.09,618.64,907.3,1618.63,1842.38,4443.98,2242.19
6,1,369.16,1395.96,850.1,864.69,2616.46,1787.79,3642.78,1476.87
6,2,364.69,1504.33,644.38,657.26,1365.34,2132.83,1395.89,3286.46
6,3,381.28,1653.28,610.35,810.32,1318.97,12110.34,943.44,1662.1
6,4,487.16,1595.24,775.1,778.95,1146.84,1677.15,1151.7,3746.99
6,5,720.29,2109.46,566.8,1078.96,1204.14,2309.48,1129.61,3072.11
6,6,496.76,2016.68,723.76,1053,1089.12,3694.03,1151.45,1955.91
6,7,702.32,1653.11,651.54,733.66,989.58,1733.9,2692.25,969.21
6,8,431.02,1558.25,760.53,840.04,1087.44,4529.39,3969.71,1675.39
6,9,825.92,1630.61,783.76,817.8,904.13,2832.63,4299.91,2329.85
6,10,627.78,1879.47,656.97,788.12,1843.72,1990.87,2351.23,1312.14
7,1,431.32,1588.3,870.85,630.93,995.45,2076.75,3012.28,1350.73
7,2,410.98,1500.42,626,811.1,875.48,6508.15,1007.79,2642.2
7,3,453.18,1371.92,706.82,1023.2,1482.49,2895.85,959.47,1151.97
7,4,546.2,1641.33,602.79,846.31,1715.58,1542.7,1873.88,2652.48
7,5,665.48,1573.67,654.58,719.34,3045.13,1461.86,3488.94,1258.96
7,6,402.07,1287.27,2339.19,1043.46,1056.59,3255.63,1125.02,1252.57
7,7,453.23,1517.93,677.62,1213.45,1801.33,1663.43,1031.81,3285.39
7,8,502.03,1393.92,651.83,860.9,1167.83,1505.83,1190.3,4293.58
7,9,513.84,1536.52,666.71,802.61,1028.44,1638.9,3775.75,1133.24
7,10,486.49,1432.65,568.04,835.17,1007.55,5021.88,1795.9,1089.06
8,1,455.88,1409.23,872.71,1063.5,1581.5,1694.17,1158.66,962.68
8,2,400.3,1402.51,740.45,814.93,932.05,5800.38,1041.14,2195.08
8,3,462.49,2236.95,883.67,809.56,1270.72,6896.32,1190.32,3466.41
8,4,461.44,1670.69,605.71,768.01,1929.45,1931.85,967.82,3514.01
8,5,376.49,1391.63,767.02,888.32,1140.38,2794.98,894.8,3751.38
8,6,393.24,1513.26,644.19,809.25,806.97,3497.36,1066.34,2749.24
8,7,532.82,1430.79,596.56,748.72,959.45,2007.7,4434.62,3707.91
8,8,527.39,1661.28,511.17,775.24,1301.46,2088.12,1187.47,2293.65
8,9,432.73,1510.28,610.16,1022.29,1216.02,1818.5,1039.51,2904.7
8,10,439.06,1493.7,646.77,711.52,1189.4,1768.57,2123.53,783.48
9,1,403.09,1388.9,707.55,701.58,1092.47,1567.88,1812.46,3605.21
9,2,608.29,1625.18,704.84,905.2,1056.28,4009.22,2299.78,1965.66
9,3,392.96,1466.18,987.17,886.86,1481.99,5168.56,3632.91,1846.02
9,4,436.85,1910.09,701.65,817.56,1046.65,1529.57,2349.88,3848.9
9,5,881.21,1742.66,798.62,722.52,1854.84,1506.05,920.24,1271.43
9,6,460.28,1422.43,814.01,765.07,1294.35,1974.41,958.26,3620.38
9,7,451.44,1672.04,679.44,723.54,2346.72,5140.81,3420.14,3738.56
9,8,836.28,1557.17,704.77,988.37,2239.26,4892.54,1417.87,1156.85
9,9,462.82,2031.9,741.39,1069.72,859.19,1819.59,1155.73,3470.02
9,10,532.95,1585.51,609.32,741.89,2343.76,2690.68,1205.93,1077.32
10,1,405.52,1412.59,735.09,856.67,1041.68,2581.4,2519.32,1084.66
10,2,443.41,1507.49,705.8,1082.18,1074.27,2033.95,1043.8,2072.76
10,3,514.28,1408.94,553.48,813.73,1951.61,1444.31,1016.95,4477.94
10,4,395.04,1600.23,1355.57,922.6,1383.65,4866.91,2968.45,1545.98
10,5,869.13,1526.96,727.64,840.01,1368.87,4830.2,1892.84,2209.39
10,6,429.56,1567.35,641.86,885.86,1030.51,1418.49,4996.12,1353.02
10,7,419.35,1735.7,980.85,910.36,1154.86,2044.68,1130.48,772.53
10,8,460.36,1488.72,668.02,938.53,1509.81,1581.3,871.12,4258.68
10,9,503.61,1654.48,686.27,821.44,1456.51,4822.92,3330.94,2765.64
10,10,609.36,1455.51,656.69,760.66,924.03,7670.68,1201.99,965.24
