iteration,sample,e2b:coldstart,e2b:native-exec,e2b:agent-exec,e2b:agent-health,daytona:coldstart,daytona:native-exec,daytona:agent-exec,daytona:agent-health
5,8,361.36,78.89,67.42,64.49,779.99,20.63,21.66,7.77
5,9,264.42,72.25,66.18,66.21,542.93,25.53,8.73,21.61
5,10,253.7,70.37,75.29,65.23,426.83,24.65,9.12,25.58
6,1,288.44,91.46,79.91,65.73,881.14,17.62,26.94,12.92
6,2,251.9,92.12,77.31,65,653.3,10.39,14.83,9.32
6,3,253.32,79.05,266.02,64.63,534.54,23.29,9.58,8.65
6,4,429.7,79.07,66.16,65.66,419.15,24.61,8.94,8.87
6,5,255.09,79.69,66.54,64.33,771.85,23.83,20.36,8.95
6,6,243.26,71.92,66.94,65.31,534.54,10.95,20.08,8.2
6,7,242.95,79.82,67.65,64.96,774.43,11.79,12.8,11.36
6,8,252.35,81.09,67.13,65.03,549.74,10.92,10.22,7.7
6,9,248.42,74.04,89.78,64.19,533.38,10.91,8.42,8.28
6,10,257.08,79.02,66.67,64.34,532.7,11.22,20.6,23.89
7,1,286.23,86.44,86.02,73.35,1122.82,221.71,222.03,214.56
7,2,261.66,85.73,76.14,66.25,551.03,218.92,223.02,71.89
7,3,248.99,72.2,67.24,73.33,652.49,78.15,74.15,211.45
7,4,246.17,72.86,73.92,75.6,1110.99,77.16,212.57,73.28
7,5,258.92,274.47,75.69,78.2,906.56,81.93,216.78,213.06
7,6,283.35,74.11,67.95,64.57,773.81,81.25,215.28,73.35
7,7,262.25,71.04,77.1,65.43,767.35,78.76,218.31,211.74
7,8,254.5,80.03,74.66,73.39,1325.99,80.29,213.07,72.43
7,9,251.18,81.37,67.56,64.69,549.26,79.39,215.96,215.16
7,10,260.11,71.09,75.29,64.79,1537.75,79.85,214.43,72.75
8,1,633.77,82.81,77.42,65.15,865.18,38.39,17.47,9.64
8,2,257.04,81.66,75.65,64.21,650.22,28.24,18.55,8.53
8,3,258.06,81.97,68.45,65.01,546.69,28.63,10.89,10.34
8,4,278.79,73.18,67.3,65.31,537.25,25.73,9.91,8.75
8,5,257.6,74.15,66.51,73.1,537.92,34.5,10.25,8.31
8,6,725.64,81.17,67.51,64.9,656.71,28.69,22.14,8.14
8,7,256.18,75.6,74.48,65.88,645.95,13.67,25.5,9.6
8,8,254.04,72.3,66.21,63.58,655.24,30.87,10.73,8.58
8,9,265.91,81.31,69.42,69.45,1987.43,27.06,51.06,9.31
8,10,253.51,72.5,67.73,66.95,422.32,27.12,11.03,8.57
9,1,484.65,79.98,80.08,235.75,1558.69,16.41,26.76,8.73
9,2,488.27,80.38,94.25,102.66,778.2,11.06,32.5,7.78
9,3,264.34,71.55,75.81,65.71,437.54,11.73,8.9,18.66
9,4,259.2,79.97,85.16,113.12,974.92,11.13,8.64,12.92
9,5,262.17,70.12,79.63,63.67,519.78,11.69,8.97,22.46
9,6,277.7,79.17,90.79,89.03,537.32,11.63,8.75,7.98
9,7,279.96,80.59,68.79,75.75,879.29,11.47,18.59,20.69
9,8,270.02,71.75,88.5,81.24,872.98,14.54,21.18,8.54
9,9,261.8,78.62,68.88,64.9,674.08,11.23,9.81,8.38
9,10,281.32,78.19,89.13,76.92,531.41,24.82,21,6.85
10,1,282.52,88.64,84.93,71.9,538.18,2104.77,36.31,30.18
10,2,262.25,89.29,80.09,65.83,781.62,88.02,37.89,29.87
10,3,267.79,70.34,65.86,75.89,1340.12,35.78,30.28,30.16
10,4,287.05,69.98,67.11,73.45,540.91,84.03,31.94,27.81
10,5,266.82,77.99,75.94,74.77,536.75,88.36,29.47,29.56
10,6,414.26,70.99,71.18,75.88,758.86,88.37,90.17,82.95
10,7,265.73,69.14,67,77.05,545.53,88.32,31.76,28.36
10,8,260.76,71.2,67.98,64.72,646.03,90.41,85.52,83.37
10,9,259.91,73.73,69.24,66.49,527.37,36.52,35.36,81.39
10,10,469.55,89.29,67.01,64.31,1051.3,90.14,85.99,29.27
